Engine_Size,Cylinders,Fuel_Consumption_City,Fuel_Consumption_Hwy,Fuel_Consumption_Comb,Fuel_Consumption_Comb-1,CO2_Emissions,Fuel_Type_D,Fuel_Type_E,Fuel_Type_N,Fuel_Type_X,Fuel_Type_Z
3.0,6,12.9,9.2,11.2,25,258,False,False,False,False,True
3.0,6,10.2,7.8,9.0,31,244,True,False,False,False,False
2.0,4,9.9,8.3,9.2,31,212,False,False,False,False,True
3.0,6,15.1,10.9,13.2,21,304,False,False,False,False,True
3.0,6,12.4,8.7,10.7,26,290,True,False,False,False,False
4.2,8,17.6,11.0,14.6,19,336,False,False,False,False,True
4.2,8,21.2,13.4,17.7,16,407,False,False,False,False,True
5.2,10,18.2,10.6,14.8,19,347,False,False,False,False,True
5.2,10,21.1,13.8,17.8,16,409,False,False,False,False,True
4.2,8,17.6,11.0,14.6,19,336,False,False,False,False,True
4.2,8,21.2,13.4,17.7,16,407,False,False,False,False,True
5.2,10,18.2,10.6,14.8,19,347,False,False,False,False,True
5.2,10,21.1,13.8,17.8,16,409,False,False,False,False,True
4.2,8,15.3,10.9,13.3,21,306,False,False,False,False,True
4.2,8,15.2,11.3,13.4,21,308,False,False,False,False,True
4.0,8,15.5,8.8,12.5,23,293,False,False,False,False,True
3.0,6,13.2,9.2,11.4,25,262,False,False,False,False,True
3.0,6,14.6,9.8,12.4,23,285,False,False,False,False,True
3.0,6,13.2,9.2,11.4,25,262,False,False,False,False,True
3.0,6,14.6,9.8,12.4,23,285,False,False,False,False,True
3.0,6,13.3,9.5,11.6,24,267,False,False,False,False,True
4.0,8,14.2,9.7,12.2,23,281,False,False,False,False,True
4.0,8,14.2,9.7,12.2,23,281,False,False,False,False,True
4.0,8,15.8,9.2,12.8,22,300,False,False,False,False,True
3.0,6,14.9,10.1,12.7,22,292,False,False,False,False,True
2.0,4,10.4,7.6,9.1,31,209,False,False,False,False,True
2.0,4,10.4,7.6,9.1,31,209,False,False,False,False,True
2.0,4,11.5,8.8,10.3,27,237,False,False,False,False,True
2.0,4,11.5,8.8,10.3,27,237,False,False,False,False,True
4.0,8,16.3,9.8,13.4,21,314,False,False,False,False,True
6.0,12,18.8,11.5,15.5,18,356,False,False,False,False,True
4.0,8,17.4,10.2,14.2,20,332,False,False,False,False,True
6.0,12,20.0,12.2,16.5,17,380,False,False,False,False,True
6.0,12,20.0,12.2,16.5,17,380,False,False,False,False,True
6.0,12,20.3,11.9,16.5,17,388,False,False,False,False,True
6.8,8,22.3,14.9,19.0,15,437,False,False,False,False,True
2.0,4,10.0,6.5,8.4,34,193,False,False,False,False,True
2.0,4,10.4,6.7,8.7,32,200,False,False,False,False,True
2.0,4,10.2,7.0,8.8,32,202,False,False,False,False,True
2.0,4,7.6,5.5,6.7,42,181,True,False,False,False,False
2.0,4,7.6,5.5,6.7,42,181,True,False,False,False,False
2.0,4,10.0,6.5,8.4,34,193,False,False,False,False,True
2.0,4,10.4,6.7,8.7,32,200,False,False,False,False,True
2.0,4,10.6,7.2,9.1,31,209,False,False,False,False,True
2.0,4,10.6,7.2,9.1,31,209,False,False,False,False,True
2.0,4,10.6,7.2,9.1,31,209,False,False,False,False,True
3.0,6,11.4,7.3,9.6,29,221,False,False,False,False,True
3.0,6,11.8,7.9,10.0,28,230,False,False,False,False,True
3.0,6,11.7,7.8,9.9,29,228,False,False,False,False,True
3.0,6,11.9,8.3,10.3,27,237,False,False,False,False,True
3.0,6,11.9,8.0,10.1,28,232,False,False,False,False,True
2.0,4,10.0,6.5,8.4,34,193,False,False,False,False,True
2.0,4,10.4,6.7,8.7,32,200,False,False,False,False,True
2.0,4,10.6,7.2,9.1,31,209,False,False,False,False,True
3.0,6,11.4,7.3,9.6,29,221,False,False,False,False,True
3.0,6,11.8,7.9,10.0,28,230,False,False,False,False,True
3.0,6,11.7,7.8,9.9,29,228,False,False,False,False,True
3.0,6,11.9,8.3,10.3,27,237,False,False,False,False,True
2.0,4,10.2,7.0,8.8,32,202,False,False,False,False,True
2.0,4,10.6,7.2,9.1,31,209,False,False,False,False,True
3.0,6,9.2,6.4,7.9,36,213,True,False,False,False,False
3.0,6,11.9,8.0,10.1,28,232,False,False,False,False,True
3.0,6,12.5,8.6,10.7,26,246,False,False,False,False,True
4.4,8,14.4,9.6,12.2,23,281,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
3.0,6,11.9,8.0,10.1,28,232,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
4.4,8,14.4,9.6,12.2,23,281,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
3.0,6,12.5,8.6,10.7,26,246,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
6.0,12,18.7,11.5,15.5,18,356,False,False,False,False,True
3.0,6,9.2,7.1,8.3,34,191,False,False,False,False,True
3.0,6,10.5,7.9,9.3,30,214,False,False,False,False,True
3.0,6,10.5,7.6,9.2,31,212,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
4.4,8,15.0,9.8,12.7,22,292,False,False,False,False,True
4.4,8,17.3,11.5,14.7,19,338,False,False,False,False,True
4.4,8,16.2,10.9,13.8,20,317,False,False,False,False,True
4.4,8,17.3,11.5,14.7,19,338,False,False,False,False,True
4.4,8,16.2,10.9,13.8,20,317,False,False,False,False,True
4.4,8,17.3,11.5,14.7,19,338,False,False,False,False,True
4.4,8,16.2,10.9,13.8,20,317,False,False,False,False,True
4.4,8,17.3,11.5,14.7,19,338,False,False,False,False,True
4.4,8,16.2,10.9,13.8,20,317,False,False,False,False,True
2.0,4,10.6,7.2,9.1,31,209,False,False,False,False,True
3.0,6,13.2,8.9,11.3,25,260,False,False,False,False,True
2.0,4,11.2,8.5,10.0,28,230,False,False,False,False,True
3.0,6,12.6,9.1,11.0,26,253,False,False,False,False,True
3.0,6,12.9,8.8,11.1,25,255,False,False,False,False,True
4.4,8,16.3,10.9,13.9,20,320,False,False,False,False,True
4.4,8,18.1,13.7,16.1,18,370,False,False,False,False,True
3.0,6,13.6,9.8,11.9,24,274,False,False,False,False,True
4.4,8,16.4,11.3,14.1,20,324,False,False,False,False,True
2.0,4,10.8,7.1,9.1,31,209,False,False,False,False,True
2.0,4,10.4,6.7,8.7,32,200,False,False,False,False,True
3.0,6,13.7,10.1,12.1,23,278,False,False,False,False,True
3.0,6,12.7,9.0,11.0,26,253,False,False,False,False,True
3.0,6,13.7,10.1,12.1,23,278,False,False,False,False,True
3.6,6,14.3,9.9,12.3,23,283,False,False,False,True,False
3.6,6,14.6,10.2,12.6,22,290,False,False,False,True,False
1.4,4,9.5,7.2,8.5,33,196,False,False,False,True,False
1.4,4,10.2,8.0,9.2,31,212,False,False,False,True,False
3.6,6,13.7,8.7,11.5,25,264,False,False,False,True,False
3.6,6,18.4,12.2,15.6,18,250,False,True,False,False,False
3.6,6,13.7,8.9,11.5,25,264,False,False,False,True,False
3.6,6,19.4,13.0,16.5,17,264,False,True,False,False,False
2.4,4,9.6,6.5,8.2,34,189,False,False,False,True,False
2.0,4,11.5,7.9,9.9,29,228,False,False,False,False,True
2.0,4,11.6,7.5,9.8,29,225,False,False,False,False,True
2.0,4,12.3,8.7,10.7,26,246,False,False,False,False,True
2.4,4,9.6,6.5,8.2,34,189,False,False,False,True,False
2.0,4,11.5,7.9,9.9,29,228,False,False,False,False,True
2.0,4,11.6,7.5,9.8,29,225,False,False,False,False,True
2.4,4,11.3,7.4,9.5,30,218,False,False,False,True,False
2.0,4,11.3,7.5,9.6,29,221,False,False,False,False,True
2.0,4,12.1,7.9,10.2,28,235,False,False,False,False,True
2.5,4,10.5,7.2,9.0,31,207,False,False,False,True,False
3.6,6,12.8,8.5,10.9,26,251,False,False,False,True,False
2.0,4,11.8,8.1,10.1,28,232,False,False,False,False,True
3.6,6,13.1,9.0,11.3,25,260,False,False,False,True,False
3.6,6,13.2,8.7,11.2,25,258,False,False,False,True,False
3.6,6,13.3,9.0,11.4,25,262,False,False,False,True,False
2.0,4,11.9,7.9,10.1,28,232,False,False,False,False,True
3.6,6,12.9,8.2,10.8,26,248,False,False,False,True,False
2.0,4,12.6,8.5,10.8,26,248,False,False,False,False,True
3.6,6,13.1,9.0,11.3,25,260,False,False,False,True,False
3.6,6,15.1,9.9,12.8,22,294,False,False,False,False,True
3.0,6,12.7,8.9,11.0,26,253,False,False,False,True,False
3.6,6,13.3,8.9,11.3,25,260,False,False,False,True,False
3.0,6,12.8,9.1,11.1,25,255,False,False,False,True,False
3.6,6,13.3,9.0,11.4,25,262,False,False,False,True,False
6.2,8,19.7,12.9,16.6,17,382,False,False,False,False,True
6.2,8,16.7,12.5,14.8,19,340,False,False,False,False,True
6.2,8,19.7,12.9,16.6,17,382,False,False,False,False,True
6.2,8,16.7,12.5,14.8,19,340,False,False,False,False,True
6.2,8,19.7,12.9,16.6,17,382,False,False,False,False,True
6.2,8,16.7,12.5,14.8,19,340,False,False,False,False,True
6.2,8,17.0,11.8,14.7,19,338,False,False,False,False,True
6.2,8,23.3,16.1,20.1,14,322,False,True,False,False,False
6.2,8,18.8,13.4,16.4,17,377,False,False,False,False,True
6.2,8,25.7,17.8,22.1,13,354,False,True,False,False,False
3.6,6,14.3,9.8,12.3,23,283,False,False,False,True,False
3.6,6,14.8,10.4,12.8,22,294,False,False,False,True,False
3.6,6,13.6,8.6,11.4,25,262,False,False,False,True,False
3.6,6,14.0,9.1,11.8,24,271,False,False,False,True,False
3.6,6,14.8,9.8,12.6,22,290,False,False,False,False,True
3.6,6,13.2,8.7,11.2,25,258,False,False,False,True,False
3.6,6,14.2,8.6,11.7,24,269,False,False,False,True,False
3.6,6,12.7,7.9,10.5,27,242,False,False,False,True,False
6.2,8,15.3,9.8,12.8,22,294,False,False,False,False,True
6.2,8,15.0,9.9,12.7,22,292,False,False,False,False,True
6.2,8,19.7,12.9,16.6,17,382,False,False,False,False,True
6.2,8,16.7,12.5,14.8,19,340,False,False,False,False,True
6.2,8,14.9,8.5,12.0,24,276,False,False,False,False,True
6.2,8,13.7,8.2,11.2,25,258,False,False,False,False,True
1.4,4,9.1,6.3,7.8,36,179,False,False,False,True,False
1.4,4,9.1,6.3,7.8,36,179,False,False,False,True,False
1.8,4,10.5,6.7,8.8,32,202,False,False,False,True,False
1.8,4,9.5,6.5,8.2,34,189,False,False,False,True,False
2.0,4,8.7,5.1,7.1,40,192,True,False,False,False,False
1.4,4,9.1,6.0,7.7,37,177,False,False,False,True,False
1.4,4,8.4,5.6,7.1,40,163,False,False,False,True,False
2.4,4,10.5,7.3,9.1,31,209,False,False,False,True,False
3.6,6,13.9,9.6,12.0,24,276,False,False,False,True,False
3.6,6,18.8,13.1,16.2,17,259,False,True,False,False,False
2.4,4,11.5,8.2,10.0,28,230,False,False,False,True,False
3.6,6,14.8,9.9,12.6,22,290,False,False,False,True,False
3.6,6,19.8,13.6,17.0,17,272,False,True,False,False,False
4.3,6,17.1,12.7,15.1,19,347,False,False,False,True,False
5.3,8,18.0,13.4,15.9,18,366,False,False,False,True,False
5.3,8,23.5,17.7,20.9,14,334,False,True,False,False,False
5.3,8,18.3,14.2,16.5,17,380,False,False,False,True,False
5.3,8,23.7,18.8,21.5,13,344,False,True,False,False,False
5.3,8,18.6,13.9,16.5,17,380,False,False,False,True,False
5.3,8,23.9,18.5,21.5,13,344,False,True,False,False,False
5.3,8,18.3,14.2,16.5,17,380,False,False,False,True,False
5.3,8,25.3,19.3,22.6,12,362,False,True,False,False,False
5.3,8,18.6,13.9,16.5,17,380,False,False,False,True,False
5.3,8,23.9,18.5,21.5,13,344,False,True,False,False,False
5.3,8,18.3,14.2,16.5,17,380,False,False,False,True,False
5.3,8,25.3,19.3,22.6,12,362,False,True,False,False,False
4.8,8,21.1,14.2,18.0,16,414,False,False,False,True,False
6.0,8,21.9,15.0,18.8,15,432,False,False,False,True,False
6.0,8,30.0,20.4,25.7,11,411,False,True,False,False,False
4.8,8,21.3,14.3,18.2,16,419,False,False,False,True,False
6.0,8,22.1,15.0,18.9,15,435,False,False,False,True,False
6.0,8,30.2,20.5,25.8,11,413,False,True,False,False,False
2.5,4,11.3,7.5,9.6,29,221,False,False,False,True,False
3.6,6,12.6,8.2,10.6,27,244,False,False,False,True,False
3.6,6,16.7,11.3,14.3,20,229,False,True,False,False,False
2.4,4,10.0,7.0,8.7,32,200,False,False,False,True,False
2.0,4,11.5,7.9,9.9,29,228,False,False,False,False,True
2.5,4,9.3,6.4,8.0,35,184,False,False,False,True,False
2.4,4,12.2,8.6,10.6,27,244,False,False,False,True,False
2.4,4,11.8,8.3,10.2,28,235,False,False,False,True,False
4.3,6,13.4,9.9,11.8,24,271,False,False,False,True,False
4.3,6,18.9,14.2,16.8,17,269,False,True,False,False,False
5.3,8,14.6,10.3,12.7,22,292,False,False,False,True,False
5.3,8,19.5,13.7,16.9,17,270,False,True,False,False,False
6.2,8,16.3,11.4,14.1,20,324,False,False,False,False,True
4.3,6,14.2,10.6,12.6,22,290,False,False,False,True,False
4.3,6,20.0,15.1,17.8,16,285,False,True,False,False,False
5.3,8,14.9,10.6,13.0,22,299,False,False,False,True,False
5.3,8,19.9,14.2,17.3,16,277,False,True,False,False,False
6.2,8,16.4,11.7,14.3,20,329,False,False,False,False,True
1.4,4,9.1,6.7,8.0,35,184,False,False,False,True,False
1.4,4,8.5,6.2,7.5,38,173,False,False,False,True,False
1.8,4,9.6,6.6,8.3,34,191,False,False,False,True,False
1.8,4,8.9,6.7,7.9,36,182,False,False,False,True,False
1.4,4,9.4,7.0,8.3,34,191,False,False,False,True,False
1.4,4,8.8,7.0,8.0,35,184,False,False,False,True,False
1.4,4,9.1,6.7,8.0,35,184,False,False,False,True,False
1.4,4,8.5,6.2,7.5,38,172,False,False,False,True,False
1.8,4,9.6,6.6,8.3,34,191,False,False,False,True,False
1.8,4,8.9,6.7,7.9,36,182,False,False,False,True,False
1.4,4,9.4,7.0,8.3,34,191,False,False,False,True,False
1.4,4,8.8,7.0,8.0,35,184,False,False,False,True,False
1.2,4,7.7,6.0,6.9,41,159,False,False,False,True,False
1.2,4,7.6,6.0,6.9,41,159,False,False,False,True,False
5.3,8,16.0,11.1,13.8,20,317,False,False,False,True,False
5.3,8,21.5,14.6,18.4,15,294,False,True,False,False,False
5.3,8,16.0,11.1,13.8,20,317,False,False,False,True,False
5.3,8,21.5,14.6,18.4,15,294,False,True,False,False,False
5.3,8,16.0,11.1,13.8,20,317,False,False,False,True,False
5.3,8,21.5,14.6,18.4,15,294,False,True,False,False,False
5.3,8,16.0,11.1,13.8,20,317,False,False,False,True,False
5.3,8,21.5,14.6,18.4,15,294,False,True,False,False,False
3.6,6,14.3,9.9,12.3,23,283,False,False,False,True,False
3.6,6,14.6,10.2,12.6,22,290,False,False,False,True,False
1.4,4,9.4,7.1,8.4,34,193,False,False,False,True,False
1.4,4,9.1,6.8,8.1,35,186,False,False,False,True,False
1.4,4,10.0,7.8,9.0,31,207,False,False,False,True,False
3.6,6,12.4,7.7,10.3,27,237,False,False,False,True,False
2.4,4,11.7,8.2,10.1,28,232,False,False,False,True,False
2.4,4,12.9,8.1,10.7,26,246,False,False,False,True,False
3.6,6,12.5,8.1,10.5,27,242,False,False,False,True,False
3.6,6,17.0,11.2,14.4,20,230,False,True,False,False,False
2.4,4,11.2,8.0,9.8,29,225,False,False,False,True,False
2.4,4,12.0,7.6,10.0,28,230,False,False,False,True,False
3.6,6,12.5,8.1,10.5,27,242,False,False,False,True,False
3.6,6,17.0,11.2,14.4,20,230,False,True,False,False,False
5.7,8,15.8,9.2,12.8,22,294,False,False,False,True,False
3.6,6,12.8,8.6,10.9,26,251,False,False,False,True,False
5.7,8,16.1,10.0,13.4,21,308,False,False,False,True,False
3.6,6,12.8,8.6,10.9,26,251,False,False,False,True,False
3.6,6,17.3,11.7,14.8,19,237,False,True,False,False,False
3.6,6,12.4,7.7,10.3,27,237,False,False,False,True,False
3.6,6,16.8,10.3,13.9,20,222,False,True,False,False,False
6.4,8,16.7,10.3,13.8,20,317,False,False,False,False,True
3.6,6,14.1,9.5,12.0,24,276,False,False,False,True,False
3.6,6,19.7,13.3,16.8,17,269,False,True,False,False,False
2.4,4,11.2,8.0,9.8,29,225,False,False,False,True,False
2.4,4,12.0,7.6,10.0,28,230,False,False,False,True,False
3.6,6,12.5,8.1,10.5,27,242,False,False,False,True,False
3.6,6,17.0,11.2,14.4,20,230,False,True,False,False,False
3.6,6,13.2,8.7,11.2,25,258,False,False,False,True,False
5.7,8,15.6,10.0,13.1,22,301,False,False,False,True,False
5.7,8,15.8,9.2,12.8,22,294,False,False,False,True,False
6.4,8,16.8,10.4,13.9,20,320,False,False,False,False,True
6.4,8,16.7,10.3,13.8,20,317,False,False,False,False,True
3.6,6,13.2,8.7,11.2,25,258,False,False,False,True,False
3.6,6,12.4,7.7,10.3,27,237,False,False,False,True,False
5.7,8,15.8,9.2,12.8,22,294,False,False,False,True,False
3.6,6,12.8,8.6,10.9,26,251,False,False,False,True,False
5.7,8,16.1,10.0,13.4,21,308,False,False,False,True,False
3.6,6,12.8,8.6,10.9,26,251,False,False,False,True,False
3.6,6,17.3,11.7,14.8,19,237,False,True,False,False,False
3.6,6,13.2,8.7,11.2,25,258,False,False,False,True,False
3.6,6,18.3,12.6,15.7,18,251,False,True,False,False,False
3.6,6,12.3,7.6,10.2,28,235,False,False,False,True,False
3.6,6,16.8,10.3,13.9,20,222,False,True,False,False,False
6.4,8,16.7,10.3,13.8,20,317,False,False,False,False,True
2.0,4,9.4,6.5,8.1,35,186,False,False,False,True,False
2.4,4,10.1,6.8,8.6,33,198,False,False,False,True,False
2.4,4,10.5,6.7,8.8,32,202,False,False,False,True,False
2.0,4,9.9,7.0,8.6,33,198,False,False,False,True,False
2.0,4,14.2,9.8,12.2,23,195,False,True,False,False,False
2.4,4,10.6,7.5,9.2,31,212,False,False,False,True,False
2.4,4,10.2,7.0,8.8,32,202,False,False,False,True,False
1.4,4,8.4,5.9,7.3,39,168,False,False,False,True,False
1.4,4,8.5,5.8,7.3,39,168,False,False,False,True,False
5.7,8,17.3,10.8,14.4,20,331,False,False,False,True,False
3.6,6,13.9,9.8,12.1,23,278,False,False,False,True,False
3.6,6,17.7,13.0,15.6,18,250,False,True,False,False,False
3.6,6,13.7,9.4,11.8,24,271,False,False,False,True,False
3.6,6,19.2,13.1,16.5,17,264,False,True,False,False,False
2.4,4,12.7,9.1,11.1,25,255,False,False,False,True,False
3.6,6,14.5,9.9,12.4,23,285,False,False,False,True,False
3.6,6,14.2,9.4,12.0,24,276,False,False,False,True,False
3.6,6,18.9,12.9,16.2,17,259,False,True,False,False,False
1.4,4,8.5,6.9,7.8,36,179,False,False,False,True,False
1.4,4,8.5,6.9,7.8,36,179,False,False,False,True,False
1.4,4,8.7,6.9,7.9,36,182,False,False,False,True,False
1.4,4,7.9,6.3,7.2,39,166,False,False,False,True,False
1.4,4,8.5,6.9,7.8,36,179,False,False,False,True,False
1.4,4,8.7,6.9,7.9,36,182,False,False,False,True,False
1.4,4,7.6,5.9,6.8,42,156,False,False,False,True,False
1.4,4,8.5,6.9,7.8,36,179,False,False,False,True,False
1.4,4,10.0,7.2,8.7,32,200,False,False,False,True,False
1.4,4,9.3,7.2,8.4,34,193,False,False,False,True,False
2.0,4,5.6,6.4,6.0,47,138,False,False,False,True,False
4.6,8,17.7,14.4,16.2,17,373,False,False,False,True,False
4.6,8,24.1,19.2,21.9,13,350,False,True,False,False,False
5.4,8,19.3,14.7,17.2,16,396,False,False,False,True,False
5.4,8,24.9,19.6,22.5,13,360,False,True,False,False,False
4.6,8,18.6,14.6,16.8,17,386,False,False,False,True,False
4.6,8,25.5,20.0,23.0,12,368,False,True,False,False,False
6.8,10,23.9,17.8,21.2,13,488,False,False,False,True,False
5.4,8,20.6,15.5,18.3,15,421,False,False,False,True,False
5.4,8,26.7,20.5,23.9,12,382,False,True,False,False,False
2.0,4,11.3,7.9,9.8,29,225,False,False,False,True,False
3.5,6,12.6,8.7,10.8,26,248,False,False,False,True,False
3.5,6,13.3,9.3,11.5,25,264,False,False,False,True,False
3.7,6,13.7,10.4,12.2,23,281,False,False,False,True,False
1.6,4,10.4,7.4,9.1,31,209,False,False,False,True,False
2.0,4,10.9,8.0,9.6,29,221,False,False,False,True,False
2.5,4,10.9,7.5,9.4,30,216,False,False,False,True,False
1.6,4,10.5,7.9,9.3,30,214,False,False,False,True,False
2.0,4,11.2,8.5,10.0,28,230,False,False,False,True,False
5.4,8,18.2,13.3,16.0,18,368,False,False,False,True,False
5.4,8,24.5,18.0,21.6,13,346,False,True,False,False,False
2.0,4,11.8,8.3,10.2,28,235,False,False,False,True,False
3.5,6,14.8,10.7,13.0,22,299,False,False,False,True,False
3.5,6,13.7,9.7,11.9,24,274,False,False,False,True,False
3.5,6,18.3,12.9,15.9,18,254,False,True,False,False,False
3.5,6,14.3,10.3,12.5,23,288,False,False,False,True,False
3.5,6,18.9,13.9,16.7,17,267,False,True,False,False,False
3.5,6,14.5,10.6,12.7,22,292,False,False,False,True,False
3.5,6,14.6,10.6,12.8,22,294,False,False,False,True,False
6.2,8,18.3,12.9,15.9,18,366,False,False,False,True,False
3.5,6,15.9,11.3,13.8,20,317,False,False,False,True,False
3.5,6,15.4,11.0,13.4,21,308,False,False,False,True,False
6.2,8,20.1,14.4,17.5,16,402,False,False,False,True,False
3.7,6,14.0,10.3,12.3,23,283,False,False,False,True,False
3.7,6,18.8,13.7,16.5,17,264,False,True,False,False,False
3.7,6,14.0,10.3,12.3,23,283,False,False,False,True,False
3.7,6,18.8,13.7,16.5,17,264,False,True,False,False,False
5.0,8,16.4,12.3,14.6,19,336,False,False,False,True,False
5.0,8,22.1,16.7,19.7,14,315,False,True,False,False,False
5.0,8,16.4,12.3,14.6,19,336,False,False,False,True,False
5.0,8,22.1,16.7,19.7,14,315,False,True,False,False,False
3.7,6,15.0,11.4,13.4,21,308,False,False,False,True,False
3.7,6,20.2,15.3,18.0,16,288,False,True,False,False,False
3.7,6,15.0,11.4,13.4,21,308,False,False,False,True,False
3.7,6,20.2,15.3,18.0,16,288,False,True,False,False,False
5.0,8,16.8,12.6,14.9,19,343,False,False,False,True,False
5.0,8,22.4,17.0,20.0,14,320,False,True,False,False,False
5.0,8,16.7,12.5,14.8,19,340,False,False,False,True,False
5.0,8,22.4,16.9,19.9,14,318,False,True,False,False,False
6.2,8,20.4,15.0,18.0,16,414,False,False,False,True,False
1.6,4,8.5,6.5,7.6,37,175,False,False,False,True,False
1.6,4,8.6,6.4,7.6,37,175,False,False,False,True,False
1.0,4,7.5,5.5,6.6,43,152,False,False,False,True,False
1.6,4,8.0,5.8,7.0,40,161,False,False,False,True,False
1.6,4,8.9,6.8,8.0,35,184,False,False,False,True,False
3.5,6,13.2,9.4,11.5,25,264,False,False,False,True,False
3.5,6,13.7,10.2,12.1,23,278,False,False,False,True,False
3.5,6,14.8,10.4,12.8,22,294,False,False,False,True,False
2.0,4,10.2,7.4,8.9,32,205,False,False,False,True,False
2.0,4,8.8,6.4,7.7,37,177,False,False,False,True,False
2.0,4,11.7,8.5,10.3,27,165,False,True,False,False,False
2.0,4,8.9,6.4,7.8,36,179,False,False,False,True,False
2.0,4,11.7,8.5,10.3,27,165,False,True,False,False,False
2.0,4,9.1,6.6,8.0,35,184,False,False,False,True,False
2.0,4,11.9,8.9,10.6,27,170,False,True,False,False,False
2.0,4,8.4,5.8,7.2,39,166,False,False,False,True,False
2.0,4,11.6,8.3,10.1,28,162,False,True,False,False,False
1.5,4,10.1,6.6,8.5,33,196,False,False,False,True,False
1.6,4,9.4,6.4,8.1,35,186,False,False,False,True,False
2.0,4,10.5,7.1,9.0,31,207,False,False,False,True,False
2.5,4,10.5,7.0,8.9,32,205,False,False,False,True,False
1.5,4,9.5,6.3,8.1,35,186,False,False,False,True,False
2.0,4,10.9,7.5,9.4,30,216,False,False,False,True,False
2.0,4,5.3,5.7,5.5,51,126,False,False,False,True,False
3.7,6,12.1,7.8,10.2,28,235,False,False,False,True,False
3.7,6,12.7,8.1,10.6,27,244,False,False,False,True,False
5.0,8,13.3,9.3,11.5,25,264,False,False,False,True,False
5.0,8,15.4,9.4,12.7,22,292,False,False,False,True,False
5.8,8,15.9,9.9,13.2,21,304,False,False,False,False,True
3.7,6,12.5,8.2,10.6,27,244,False,False,False,True,False
2.0,4,10.5,7.3,9.1,31,209,False,False,False,True,False
3.5,6,13.7,9.4,11.8,24,271,False,False,False,True,False
3.5,6,12.1,8.1,10.3,27,237,False,False,False,True,False
3.5,6,17.0,11.1,14.3,20,229,False,True,False,False,False
3.5,6,13.0,9.1,11.2,25,258,False,False,False,True,False
3.5,6,18.4,12.5,15.7,18,251,False,True,False,False,False
1.6,4,10.8,8.0,9.5,30,218,False,False,False,True,False
